run,alpha,beta,omega,country,pfrac
503795,0.200000,5.500000,0.000000,Afghanistan,0.572000
480251,0.200000,5.500000,0.100000,Afghanistan,0.570000
539867,0.200000,5.500000,0.200000,Afghanistan,0.564667
347627,0.200000,5.500000,0.300000,Afghanistan,0.556667
535547,0.200000,5.500000,0.400000,Afghanistan,0.556000
763859,0.200000,5.500000,0.500000,Afghanistan,0.566667
191459,0.200000,5.500000,0.600000,Afghanistan,0.564667
1156331,0.200000,5.500000,0.700000,Afghanistan,0.546667
607691,0.200000,5.500000,0.800000,Afghanistan,0.559333
843131,0.200000,5.500000,0.900000,Afghanistan,0.566667
1076195,0.200000,5.500000,1.000000,Afghanistan,0.552667
423035,0.200000,6.000000,0.000000,Afghanistan,0.567333
758267,0.200000,6.000000,0.100000,Afghanistan,0.575333
133595,0.200000,6.000000,0.200000,Afghanistan,0.577333
1174499,0.200000,6.000000,0.300000,Afghanistan,0.580667
602099,0.200000,6.000000,0.400000,Afghanistan,0.557333
578555,0.200000,6.000000,0.500000,Afghanistan,0.558000
1018331,0.200000,6.000000,0.600000,Afghanistan,0.569333
445931,0.200000,6.000000,0.700000,Afghanistan,0.568667
633851,0.200000,6.000000,0.800000,Afghanistan,0.572000
862163,0.200000,6.000000,0.900000,Afghanistan,0.558667
289763,0.200000,6.000000,1.000000,Afghanistan,0.567333
544235,0.200000,6.500000,0.000000,Afghanistan,0.573333
428027,0.200000,6.500000,0.100000,Afghanistan,0.572000
960467,0.200000,6.500000,0.200000,Afghanistan,0.567333
388067,0.200000,6.500000,0.300000,Afghanistan,0.571333
483323,0.200000,6.500000,0.400000,Afghanistan,0.573333
856571,0.200000,6.500000,0.500000,Afghanistan,0.558000
231899,0.200000,6.500000,0.600000,Afghanistan,0.566667
457835,0.200000,6.500000,0.700000,Afghanistan,0.570000
700403,0.200000,6.500000,0.800000,Afghanistan,0.566000
23459,0.200000,6.500000,0.900000,Afghanistan,0.566667
1104755,0.200000,6.500000,1.000000,Afghanistan,0.558000
332795,0.200000,7.000000,0.000000,Afghanistan,0.564000
798707,0.200000,7.000000,0.100000,Afghanistan,0.560000
174035,0.200000,7.000000,0.200000,Afghanistan,0.566667
1162667,0.200000,7.000000,0.300000,Afghanistan,0.578000
537995,0.200000,7.000000,0.400000,Afghanistan,0.558667
70139,0.200000,7.000000,0.500000,Afghanistan,0.571333
1058771,0.200000,7.000000,0.600000,Afghanistan,0.558667
486371,0.200000,7.000000,0.700000,Afghanistan,0.569333
581627,0.200000,7.000000,0.800000,Afghanistan,0.557333
954875,0.200000,7.000000,0.900000,Afghanistan,0.562000
470387,0.200000,7.000000,1.000000,Afghanistan,0.570667
584675,0.200000,7.500000,0.000000,Afghanistan,0.573333
12275,0.200000,7.500000,0.100000,Afghanistan,0.566667
1053179,0.200000,7.500000,0.200000,Afghanistan,0.568667
376235,0.200000,7.500000,0.300000,Afghanistan,0.564000
941939,0.200000,7.500000,0.400000,Afghanistan,0.554667
897011,0.200000,7.500000,0.500000,Afghanistan,0.556000
272339,0.200000,7.500000,0.600000,Afghanistan,0.573333
